datasourceId,sourceId,sourceType,outputFrequency,time,locationLatitude,locationLongitude,atmPressureIndividual.qcAssessment,atmPressureIndividual.qcFlags,atmPressureIndividual.raw,atmPressureIndividual.status,atmPressureIndividual.value,bcAllSourcesIndividual.qcAssessment,bcAllSourcesIndividual.qcFlags,bcAllSourcesIndividual.raw,bcAllSourcesIndividual.status,bcAllSourcesIndividual.value,bcBiomassIndividual.qcAssessment,bcBiomassIndividual.qcFlags,bcBiomassIndividual.raw,bcBiomassIndividual.status,bcBiomassIndividual.value,bcFossilFuelIndividual.qcAssessment,bcFossilFuelIndividual.qcFlags,bcFossilFuelIndividual.raw,bcFossilFuelIndividual.status,bcFossilFuelIndividual.value,bcSpectralBIndividual.qcAssessment,bcSpectralBIndividual.qcFlags,bcSpectralBIndividual.raw,bcSpectralBIndividual.status,bcSpectralBIndividual.value,bcSpectralGIndividual.qcAssessment,bcSpectralGIndividual.qcFlags,bcSpectralGIndividual.raw,bcSpectralGIndividual.status,bcSpectralGIndividual.value,bcSpectralIRIndividual.qcAssessment,bcSpectralIRIndividual.qcFlags,bcSpectralIRIndividual.raw,bcSpectralIRIndividual.status,bcSpectralIRIndividual.value,bcSpectralRIndividual.qcAssessment,bcSpectralRIndividual.qcFlags,bcSpectralRIndividual.raw,bcSpectralRIndividual.status,bcSpectralRIndividual.value,bcSpectralUVIndividual.qcAssessment,bcSpectralUVIndividual.qcFlags,bcSpectralUVIndividual.raw,bcSpectralUVIndividual.status,bcSpectralUVIndividual.value,no2ConcIndividual.qcAssessment,no2ConcIndividual.qcFlags,no2ConcIndividual.raw,no2ConcIndividual.status,no2ConcIndividual.value,o3ConcIndividual.qcAssessment,o3ConcIndividual.qcFlags,o3ConcIndividual.raw,o3ConcIndividual.status,o3ConcIndividual.value,pm10ConcMassIndividual.qcAssessment,pm10ConcMassIndividual.qcFlags,pm10ConcMassIndividual.raw,pm10ConcMassIndividual.status,pm10ConcMassIndividual.value,pm10ConcNumIndividual.qcAssessment,pm10ConcNumIndividual.qcFlags,pm10ConcNumIndividual.raw,pm10ConcNumIndividual.status,pm10ConcNumIndividual.value,pm1ConcMassIndividual.qcAssessment,pm1ConcMassIndividual.qcFlags,pm1ConcMassIndividual.raw,pm1ConcMassIndividual.status,pm1ConcMassIndividual.value,pm1ConcNumIndividual.qcAssessment,pm1ConcNumIndividual.qcFlags,pm1ConcNumIndividual.raw,pm1ConcNumIndividual.status,pm1ConcNumIndividual.value,pm2_5ConcMassIndividual.qcAssessment,pm2_5ConcMassIndividual.qcFlags,pm2_5ConcMassIndividual.raw,pm2_5ConcMassIndividual.status,pm2_5ConcMassIndividual.value,pm2_5ConcNumIndividual.qcAssessment,pm2_5ConcNumIndividual.qcFlags,pm2_5ConcNumIndividual.raw,pm2_5ConcNumIndividual.status,pm2_5ConcNumIndividual.value,relHumidAmbientIndividual.qcAssessment,relHumidAmbientIndividual.qcFlags,relHumidAmbientIndividual.raw,relHumidAmbientIndividual.status,relHumidAmbientIndividual.value,relHumidInternalIndividual.qcAssessment,relHumidInternalIndividual.qcFlags,relHumidInternalIndividual.raw,relHumidInternalIndividual.status,relHumidInternalIndividual.value,temperatureAmbientIndividual.qcAssessment,temperatureAmbientIndividual.qcFlags,temperatureAmbientIndividual.raw,temperatureAmbientIndividual.status,temperatureAmbientIndividual.value,temperatureInternalIndividual.qcAssessment,temperatureInternalIndividual.qcFlags,temperatureInternalIndividual.raw,temperatureInternalIndividual.status,temperatureInternalIndividual.value,windDirectionIndividual.qcAssessment,windDirectionIndividual.qcFlags,windDirectionIndividual.raw,windDirectionIndividual.status,windDirectionIndividual.value,windSpeedIndividual.qcAssessment,windSpeedIndividual.qcFlags,windSpeedIndividual.raw,windSpeedIndividual.status,windSpeedIndividual.value
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-07-30T22:25:56.579Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-5.45,calibrated-ready,12.64,,,,,,valid,[],33.23,calibration-missing,,valid,[],31.93,sensor-ready,31.93,valid,[],17.81,calibration-missing,,valid,[],29.84,sensor-ready,29.84,valid,[],28.58,calibrated-ready,19.31,valid,[],31.75,sensor-ready,31.75,,,,,,valid,[],40.34,sensor-ready,40.34,,,,,,valid,[],27.25,sensor-ready,27.25,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-07-30T22:29:40.395Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-12.52,calibrated-ready,17.01,,,,,,valid,[],39.66,calibration-missing,,valid,[],38.29,sensor-ready,38.29,valid,[],20.25,calibration-missing,,valid,[],35.87,sensor-ready,35.87,valid,[],31.22,calibrated-ready,22.52,valid,[],38,sensor-ready,38,,,,,,valid,[],38.59,sensor-ready,38.59,,,,,,valid,[],28.94,sensor-ready,28.94,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-07-30T22:33:23.546Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-6.94,calibrated-ready,20.53,,,,,,valid,[],46.99,calibration-missing,,valid,[],48.48,sensor-ready,48.48,valid,[],23.22,calibration-missing,,valid,[],45.2,sensor-ready,45.2,valid,[],36.61,calibrated-ready,26.59,valid,[],48.22,sensor-ready,48.22,,,,,,valid,[],38.36,sensor-ready,38.36,,,,,,valid,[],30.36,sensor-ready,30.36,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-07-30T22:36:04.243Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],0.5,calibrated-ready,13.05,,,,,,valid,[],53.17,calibration-missing,,valid,[],52.67,sensor-ready,52.67,valid,[],25.97,calibration-missing,,valid,[],49.55,sensor-ready,49.55,valid,[],41.42,calibrated-ready,28.58,valid,[],52.34,sensor-ready,52.34,,,,,,valid,[],42.5,sensor-ready,42.5,,,,,,valid,[],29.37,sensor-ready,29.37,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-07-30T22:37:07.097Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-11.37,calibrated-ready,16.83,,,,,,valid,[],48.5,calibration-missing,,valid,[],55.17,sensor-ready,55.17,valid,[],25.81,calibration-missing,,valid,[],51.87,sensor-ready,51.87,valid,[],38.96,calibrated-ready,28.49,valid,[],54.99,sensor-ready,54.99,,,,,,valid,[],37.58,sensor-ready,37.58,,,,,,valid,[],31.48,sensor-ready,31.48,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-07-30T22:39:44.655Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-10.73,calibrated-ready,12.14,,,,,,valid,[],53.52,calibration-missing,,valid,[],56.34,sensor-ready,56.34,valid,[],26.78,calibration-missing,,valid,[],53.1,sensor-ready,53.1,valid,[],42.17,calibrated-ready,30.09,valid,[],55.97,sensor-ready,55.97,,,,,,valid,[],38.87,sensor-ready,38.87,,,,,,valid,[],30.69,sensor-ready,30.69,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-07-30T22:40:50.468Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-19.96,calibrated-ready,11.92,,,,,,valid,[],49.94,calibration-missing,,valid,[],54.48,sensor-ready,54.48,valid,[],25.55,calibration-missing,,valid,[],50.98,sensor-ready,50.98,valid,[],39.36,calibrated-ready,28.99,valid,[],54.26,sensor-ready,54.26,,,,,,valid,[],36.3,sensor-ready,36.3,,,,,,valid,[],32.33,sensor-ready,32.33,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-07-30T22:43:24.887Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-10,calibrated-ready,14.04,,,,,,valid,[],51.2,calibration-missing,,valid,[],53.05,sensor-ready,53.05,valid,[],25.39,calibration-missing,,valid,[],49.98,sensor-ready,49.98,valid,[],40.02,calibrated-ready,28.83,valid,[],52.69,sensor-ready,52.69,,,,,,valid,[],38.33,sensor-ready,38.33,,,,,,valid,[],31.69,sensor-ready,31.69,,,,,,,,,,
DPZDB9185,ATFLLNGJ,CLARITY_NODE,minute,2024-07-30T22:44:33.936Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-28.33,calibration-error,,,,,,,valid,[],48.2,calibration-missing,,valid,[],54.19,sensor-ready,54.19,valid,[],25.55,calibration-missing,,valid,[],51.16,sensor-ready,51.16,valid,[],38.57,calibrated-ready,28.53,valid,[],53.91,sensor-ready,53.91,,,,,,valid,[],35.94,sensor-ready,35.94,,,,,,valid,[],32.91,sensor-ready,32.91,,,,,,,,,,
DLBZS9655,AQRLL9HH,CLARITY_NODE,minute,2024-07-30T22:47:05.201Z,39.76168,-121.84047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,valid,[],-10.84,calibrated-ready,13.86,,,,,,valid,[],44.19,calibration-missing,,valid,[],44.99,sensor-ready,44.99,valid,[],22.77,calibration-missing,,valid,[],42.63,sensor-ready,42.63,valid,[],34.69,calibrated-ready,25.67,valid,[],44.78,sensor-ready,44.78,,,,,,valid,[],35.52,sensor-ready,35.52,,,,,,valid,[],32.61,sensor-ready,32.61,,,,,,,,,,
